,word2vec_cbow_w2_d100_lemma.model,word2vec_cbow_w2_d100_stem.model,word2vec_cbow_w2_d300_lemma.model,word2vec_cbow_w2_d300_stem.model,word2vec_cbow_w4_d100_lemma.model,word2vec_cbow_w4_d100_stem.model,word2vec_cbow_w4_d300_lemma.model,word2vec_cbow_w4_d300_stem.model,word2vec_sg_w2_d100_lemma.model,word2vec_sg_w2_d100_stem.model,word2vec_sg_w2_d300_lemma.model,word2vec_sg_w2_d300_stem.model,word2vec_sg_w4_d100_lemma.model,word2vec_sg_w4_d100_stem.model,word2vec_sg_w4_d300_lemma.model,word2vec_sg_w4_d300_stem.model
word2vec_cbow_w2_d100_lemma.model,1.0,0.42857142857142855,0.6666666666666666,0.42857142857142855,0.25,0.42857142857142855,0.42857142857142855,0.25,0.25,0.42857142857142855,0.42857142857142855,0.25,0.25,0.25,0.25,0.25
word2vec_cbow_w2_d100_stem.model,0.42857142857142855,1.0,0.6666666666666666,0.6666666666666666,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.25,0.25,0.42857142857142855,0.42857142857142855,0.25,0.25,0.25,0.25,0.25
word2vec_cbow_w2_d300_lemma.model,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.25,0.42857142857142855,0.42857142857142855,0.25,0.25,0.42857142857142855,0.42857142857142855,0.25,0.25,0.25,0.25,0.25
word2vec_cbow_w2_d300_stem.model,0.42857142857142855,0.6666666666666666,0.6666666666666666,1.0,0.25,0.42857142857142855,0.42857142857142855,0.25,0.25,0.42857142857142855,0.42857142857142855,0.25,0.25,0.25,0.25,0.25
word2vec_cbow_w4_d100_lemma.model,0.25,0.42857142857142855,0.25,0.25,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.42857142857142855,0.6666666666666666,0.42857142857142855,0.42857142857142855,0.6666666666666666,0.6666666666666666
word2vec_cbow_w4_d100_stem.model,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.6666666666666666,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.42857142857142855,0.42857142857142855,0.6666666666666666,0.6666666666666666
word2vec_cbow_w4_d300_lemma.model,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.6666666666666666,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.42857142857142855,0.42857142857142855,0.6666666666666666,0.6666666666666666
word2vec_cbow_w4_d300_stem.model,0.25,0.25,0.25,0.25,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.42857142857142855,0.6666666666666666,0.42857142857142855,0.42857142857142855,0.6666666666666666,0.6666666666666666
word2vec_sg_w2_d100_lemma.model,0.25,0.25,0.25,0.25,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0
word2vec_sg_w2_d100_stem.model,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.6666666666666666,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.42857142857142855,0.42857142857142855,0.6666666666666666,0.6666666666666666
word2vec_sg_w2_d300_lemma.model,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.6666666666666666,0.6666666666666666,0.42857142857142855,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
word2vec_sg_w2_d300_stem.model,0.25,0.25,0.25,0.25,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0
word2vec_sg_w4_d100_lemma.model,0.25,0.25,0.25,0.25,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.6666666666666666,0.42857142857142855,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
word2vec_sg_w4_d100_stem.model,0.25,0.25,0.25,0.25,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.6666666666666666,0.42857142857142855,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666
word2vec_sg_w4_d300_lemma.model,0.25,0.25,0.25,0.25,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0
word2vec_sg_w4_d300_stem.model,0.25,0.25,0.25,0.25,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0
